Filament Name,Color,Color Family,Weight (g),Spools (1kg),Profile Name,Type
Generic PLA,Black,Black,4672.11,5,PLA - Black @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,White,White,3325,4,PLA - White @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Gray,Gray,900,1,PLA - Gray @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Marble Cement Gray,Gray,1000,1,PLA - Marble Cement Gray @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Marble,Gray,1000,1,PLA - Marble @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,IH Red,Red,950,1,PLA - IH Red @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Forest Green,Green,2800,3,PLA - Forest Green @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Orange,Orange,900,1,PLA - Orange @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,MH Gold,Gold,900,1,PLA - MH Gold @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Yellow,Yellow,650,1,PLA - Yellow @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Gold,Gold,1000,1,PLA - Gold @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Blue,Blue,900,1,PLA - Blue @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Purple,Purple,250,1,PLA - Purple @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Pink,Pink,800,1,PLA - Pink @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Brown,Brown,700,1,PLA - Brown @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Wood Filled,Brown,1000,1,PLA - Wood Filled @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Steel Gray,Gray,500,1,PLA - Steel Gray @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Silk Purple,Purple,200,1,PLA - Silk Purple @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Light Brown,Brown,300,1,PLA - Light Brown @Snapmaker U1 (0.4 nozzle),PLA
Generic PLA,Beige,Brown,1000,1,PLA - Beige @Snapmaker U1 (0.4 nozzle),PLA
Generic PETG,Black,Black,1915.19,2,PETG - Black @Snapmaker U1 (0.4 nozzle),PETG
Generic PETG,White,White,2500,3,PETG - White @Snapmaker U1 (0.4 nozzle),PETG
Generic PETG,Gray,Gray,1000,1,PETG - Gray @Snapmaker U1 (0.4 nozzle),PETG
Generic PC,Black,Black,1000,1,PC - Black @Snapmaker U1 (0.4 nozzle),PC
Generic TPU,White,White,1000,1,TPU - White @Snapmaker U1 (0.4 nozzle),TPU
Generic TPU,Black,Black,850,1,TPU - Black @Snapmaker U1 (0.4 nozzle),TPU
